"stateFlagCode","state","TotalHouseholdsThatOwnPets_2016"
,"Wyoming",71.8
,"West Virginia",70.7
,"Nebraska",70.3
,"Vermont",70
,"Idaho",69.9
,"Indiana",69.2
,"Arkansas",69
,"Mississippi",65.5
,"Oklahoma",65
,"Colorado",64.7
,"Kentucky",64.1
,"North Dakota",63.7
,"Maine",63.5
,"Missouri",63.5
,"Kansas",62.8
,"Washington",62.7
,"Michigan",62.4
,"Ohio",62.4
,"South Carolina",62
,"Montana",61.9
,"Tennessee",61.7
,"Pennsylvania",60.6
,"New Mexico",60.1
,"Alabama",59.8
,"Iowa",59.4
,"Oregon",59.2
,"Wisconsin",59
,"North Carolina",58.6
,"Utah",58.5
,"Texas",58.2
,"Arizona",58
,"Delaware",57.9
,"California",57.2
,"Florida",56
,"Virginia",55.5
,"Louisiana",54.4
,"Minnesota",54
,"Nevada",53.3
,"New Hampshire",51.8
,"Georgia",51.1
,"Connecticut",49.9
,"New York",49.7
,"Massachusetts",49.1
,"Illinois",48.6
,"Maryland",48.6
,"New Jersey",47.4
,"South Dakota",46.4
,"Rhode Island",45.4
,"District of Columbia",38.2
